,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,np
0,1450519916151394307,1450519916151394307,2021-10-20 02:51:12 JST,2021-10-20,02:51:12,900,3245321528,imasu844,イマース@凡愚(DTM垢作りました),,Spotifyは落語も配信してるってもっと大々的にCMすべきだと思うのよね CD時代は名人話芸全集とか全然買わなかったけど配信だと安心して聞ける人多いと思うのよ  #Spotify  #スポティファイ #落語 #話芸,ja,[],[],[],0,0,0,"['spotify', 'スポティファイ', '落語', '話芸']",[],https://twitter.com/imasu844/status/1450519916151394307,False,,0,,,,,,,,[],,,,,-0.49699999999999994
4,1450502346992066567,1450502346992066567,2021-10-20 01:41:23 JST,2021-10-20,01:41:23,900,1402302822259953667,ngy_mimimi,美々海（ことり）,,アイナナちゃんのラジオCMってアーカイブ内に残るのかな……？ ANNØ、普段radikoじゃなくてSpotifyで聴いてるからわからん 明日テスト最終日だからリアタイ迷う…,ja,[],[],[],0,0,0,[],[],https://twitter.com/ngy_mimimi/status/1450502346992066567,False,,0,,,,,,,,[],,,,,-0.73895225
5,1450493384976580612,1450493384976580612,2021-10-20 01:05:46 JST,2021-10-20,01:05:46,900,1290688445547868160,iihozcmhfdcmms8,あきもとやすしのセックス,,Spotifyでおすすめ教えて フォロワーさーん私エッチしたいわー★DMちょうだい,ja,[],[],[],0,0,0,[],[],https://twitter.com/iIHozCMHfdCmmS8/status/1450493384976580612,False,,0,,,,,,,,[],,,,,-0.6537073333333333
7,1450481360649392130,1450481360649392130,2021-10-20 00:17:59 JST,2021-10-20,00:17:59,900,134671868,mionxfineday,ミオン,,リリースおめでとう🎊 SpotifyでCM流れた～😆  https://t.co/GgIaAoJi4a,ja,[],['https://open.spotify.com/album/2U5sCUvrb6hXAb1AiIVm7H?si=ijEu_t9iQ86d1XviEPFrPw'],[],1,0,0,[],[],https://twitter.com/mionxfineday/status/1450481360649392130,False,,0,,,,,,,,[],,,,,-0.882641
8,1450481227169890306,1450481227169890306,2021-10-20 00:17:27 JST,2021-10-20,00:17:27,900,1369683420465487878,cmcy8ur0y2ihkrj,KOUKI,,CMBがSpotifyは神😇　明日学校で聴けるのか🥰🥰🥰,ja,[],[],[],0,0,2,[],[],https://twitter.com/CmCy8UR0Y2ihKrJ/status/1450481227169890306,False,,0,,,,,,,,[],,,,,-0.13041866666666665
13,1450464542253793300,1450464542253793300,2021-10-19 23:11:09 JST,2021-10-19,23:11:09,900,3104589360,eastyodogawa,eastyodogawa,,桑田佳祐ユニクロCM全曲プレイリスト　#Spotify #桑田佳祐 #ユニクロ  https://t.co/lwKCJD7nSK,ja,[],['https://open.spotify.com/playlist/65hj9SuwIPlGjTcbpzVKHq?si=n5H5D3qNTOyN-hU5CGI8Gg&utm_source=copy-link'],[],0,0,3,"['spotify', '桑田佳祐', 'ユニクロ']",[],https://twitter.com/eastyodogawa/status/1450464542253793300,False,,0,,,,,,,,[],,,,,-0.738596
17,1450448870190714883,1450448870190714883,2021-10-19 22:08:53 JST,2021-10-19,22:08:53,900,727698054,meron0301,かおりん,,RyoAramaki_Official が17LIVEで配信中！ #ワンセブン #人生はいつもライブだ 23:45まで！SpotifyのCM権争奪戦に参戦！喋るだけ！配信後東京に帰りますw #荒牧リョウ  https://t.co/Q02bXD1nc0,ja,[],['https://17.live/ja/share?pid=InappShare&af_c_id=livestream&af_dp=media17://v2/live/9520794&af_web_dp=https://17.live/ja/live/9520794'],[],0,0,0,"['ワンセブン', '人生はいつもライブだ', '荒牧リョウ']",[],https://twitter.com/meron0301/status/1450448870190714883,False,,0,,,,,,,,[],,,,,-0.4748726666666667
18,1450446770463412226,1450446770463412226,2021-10-19 22:00:32 JST,2021-10-19,22:00:32,900,499591877,xxryoaramakixx,荒牧リョウ🔥アーティストリーグ🔥まずは予選突破🔥,,【イチナナ】 突然ですが！ 始めまっす！  #ワンセブン #人生はいつもライブだ  23:45まで！ SpotifyのCM権争奪戦に参戦！ 目指せ5位以内！ 喋るだけ！ 配信後東京に帰りますw   #荒牧リョウ    https://t.co/erHZqfKAur,ja,[],['https://17.live/ja/share?pid=InappShare&af_c_id=livestream&af_dp=media17://v2/live/9520794&af_web_dp=https://17.live/ja/live/9520794'],[],0,2,3,"['ワンセブン', '人生はいつもライブだ', '荒牧リョウ']",[],https://twitter.com/xxRyoAramakixx/status/1450446770463412226,False,,0,,,,,,,,[],,,,,-0.3358383333333333
23,1450399365101604872,1450399365101604872,2021-10-19 18:52:10 JST,2021-10-19,18:52:10,900,1375349867808051202,ou_o3o_uo,にゃんたそ@光属性,,Spotifyで流れている木村昴さんと榎木淳弥さんのでずにーのCMがでずにーに来てｷｬｯｷｬｯしてる東堂と虎杖にしか聞こえない,ja,[],[],[],0,0,1,[],[],https://twitter.com/ou_o3o_uo/status/1450399365101604872,False,,0,,,,,,,,[],,,,,-0.5512170000000001
29,1450322377644990470,1450322377644990470,2021-10-19 13:46:15 JST,2021-10-19,13:46:15,900,410576930,dragongate99jp,TAM2@Y.N.W.A.🏆,,最近Spotifyの課金プレッシャーがスゴい。 ＣＭの回数もアレだが、その内容…。昼間っから包茎治療とかさぁ…（笑）  車ん中、微妙な空気になったじゃねえか、どうしてくれんだww,ja,[],[],[],0,1,4,[],[],https://twitter.com/dragongate99jp/status/1450322377644990470,False,,0,,,,,,,,[],,,,,-0.4712784142857143
32,1450309741767393280,1450309741767393280,2021-10-19 12:56:02 JST,2021-10-19,12:56:02,900,281932931,shirotee,結城シロ,,Spotifyで聞いてるからCM聞けないのじゃ〜😭リアタイ無理,ja,[],[],[],0,0,0,[],[],https://twitter.com/shirotee/status/1450309741767393280,False,,0,,,,,,,,[],,,,,-0.784623
33,1450305398251003905,1449790469878124552,2021-10-19 12:38:46 JST,2021-10-19,12:38:46,900,793604647,plove_49,いつみ（itumi）Tomo's fam,,@Boochan03871204 あーそれでなんですね 有難うございます YouTubeミュージックの１ヶ月が過ぎて延長しなかったからCM流れるようになったって事ですかね 納得しました👌  急にCM見かけるようになって「あれ？」と不思議だったんです  私はSpotifyを継続する事にしました  YouTubeミュージックと迷ったんですけど💦,ja,[],[],[],1,0,1,[],[],https://twitter.com/Plove_49/status/1450305398251003905,False,,0,,,,,,,,"[{'screen_name': 'Boochan03871204', 'name': 'Boo♡chan', 'id': '1164850320360394752'}]",,,,,0.0
34,1450302093965742081,1450302093965742081,2021-10-19 12:25:39 JST,2021-10-19,12:25:39,900,857225230330114048,mama3152_cos,まま,,Spotify、CMカットされるから聞けないじゃん！😭＞RT,ja,[],[],[],0,0,0,[],[],https://twitter.com/mama3152_cos/status/1450302093965742081,False,,0,,,,,,,,[],,,,,-0.7977853333333332
37,1450285481833291782,1450285481833291782,2021-10-19 11:19:38 JST,2021-10-19,11:19:38,900,834607715871662080,usa_manga,うさ／毎週水曜日★洗濯＆家事マンガ更新！,,#洗濯は未来への選択だと思う  #センタク 今日、洗濯の日なんですって… SpotifyのCMが教えてくれた…！！,ja,[],[],[],0,0,5,"['洗濯は未来への選択だと思う', 'センタク']",[],https://twitter.com/usa_manga/status/1450285481833291782,False,,0,,,,,,,,[],,,,,-0.4759227625
39,1450268049244704768,1450268049244704768,2021-10-19 10:10:22 JST,2021-10-19,10:10:22,900,1368702568335962112,170cm_53kg_ab,ふっか,,今日のSpotify流星隊推し？？ありがとう,ja,[],[],[],0,0,1,[],[],https://twitter.com/170cm_53kg_AB/status/1450268049244704768,False,,0,,,,,,,,[],,,,,-0.3635553333333334
40,1450260511187111939,1450260511187111939,2021-10-19 09:40:25 JST,2021-10-19,09:40:25,900,1337698692925595650,yorumo_pan,躁うつ子,,Spotify、「これはあなたへのおすすめです」とか言って変な曲勝手に流さないでほしい 全然好きじゃない まあこれもCMの一種なんだろうな、仕方ないのはわかってるけど…,ja,[],[],[],0,0,0,[],[],https://twitter.com/yorumo_pan/status/1450260511187111939,False,,0,,,,,,,,[],,,,,-0.8160995
41,1450257714647425026,1450257714647425026,2021-10-19 09:29:18 JST,2021-10-19,09:29:18,900,1045907211111649280,mah_04ktmaestro,MAH(まー)@,,Spotifyで流れてくるイオンモバイルのcmで仮名出ててくる名前と年齢まんま姉なんだけど🤣🤣,ja,[],[],[],0,0,0,[],[],https://twitter.com/MAH_04KTmaestro/status/1450257714647425026,False,,0,,,,,,,,[],,,,,-0.43172642857142857
42,1450257434082099202,1450257434082099202,2021-10-19 09:28:11 JST,2021-10-19,09:28:11,900,1134642877831606272,reirein_kgu,れいん(雨),,SpotifyのCMってなんでセンス悪そうなのばっかり流れてくるんだろ🙄,ja,[],[],[],0,0,1,[],[],https://twitter.com/ReiRein_KGU/status/1450257434082099202,False,,0,,,,,,,,[],,,,,-0.5879856666666666
45,1450251807788208129,1450251807788208129,2021-10-19 09:05:50 JST,2021-10-19,09:05:50,900,1290688445547868160,iihozcmhfdcmms8,あきもとやすしのセックス,,Spotifyでおすすめ教えて DMでたくさんお話しよ！,ja,[],[],[],0,0,0,[],[],https://twitter.com/iIHozCMHfdCmmS8/status/1450251807788208129,False,,0,,,,,,,,[],,,,,-0.270302
47,1450164423205666816,1450164423205666816,2021-10-19 03:18:35 JST,2021-10-19,03:18:35,900,1409962846977286145,higmay1,higmay,,Spotify、程よくCM挟むからラジオ感出てていい（何度目だ）,ja,[],[],[],0,0,0,[],[],https://twitter.com/higmay1/status/1450164423205666816,False,,0,,,,,,,,[],,,,,-0.6693732499999999
56,1450117149939302406,1450117149939302406,2021-10-19 00:10:45 JST,2021-10-19,00:10:45,900,1440461544614105090,buttermisosoup2,buttermisosoup,,#榎木淳弥 さん 誕生日おめでとう✨😆✨ spotifyで流れてる木村昴さんとのDisney 50thのCMがすごい好き 自然な掛け合いに癒される 素敵な一年になりますように  親子で応援しています #榎木淳弥誕生祭2021  https://t.co/pRLi2ZvUB3,ja,[],[],['https://pbs.twimg.com/media/FB_Z3DfVgAY49Tv.jpg'],0,0,2,"['榎木淳弥', '榎木淳弥誕生祭2021']",[],https://twitter.com/buttermisosoup2/status/1450117149939302406,False,,1,https://pbs.twimg.com/media/FB_Z3DfVgAY49Tv.jpg,,,,,,,[],,,,,-0.48510722222222213
57,1450116868568584195,1450116868568584195,2021-10-19 00:09:37 JST,2021-10-19,00:09:37,900,1073225469938393094,_illegirlii_,illegirl..,,？？？？？？？山下大輝くんの音楽をSpotifyで聴いていたら石田彰の朗読始まった、、、、？？？？？焦るわ　CM我慢する知らない人の楽曲我慢する読み聞かせはやめて勘弁して？？,ja,[],[],[],0,0,0,[],[],https://twitter.com/_illegirlii_/status/1450116868568584195,False,,0,,,,,,,,[],,,,,-0.563043
61,1450101711197007875,1450101711197007875,2021-10-18 23:09:24 JST,2021-10-18,23:09:24,900,372654685,lazlos_martini,のの,,"ダニエル・クレイグのハイネケンCM#2🍺。  https://t.co/aGuYGLobEs  🎶ポーティスヘッド「ダミー」から「グローリー・ボックス」。 🎶""Glory Box"" Performed by Portishead from the Album ""Dummy"". 💎Spotify  https://t.co/QbaG862Tz3 💎YouTube  https://t.co/Cz08HULHog",ja,[],"['https://youtu.be/1GhS85GcoEg', 'https://open.spotify.com/track/3Ty7OTBNSigGEpeW2PqcsC?si=qezitr2_Rg-pXpMbaLNg9g', 'https://youtu.be/4qQyUi4zfDs']",[],0,0,3,[],[],https://twitter.com/Lazlos_Martini/status/1450101711197007875,False,https://twitter.com/heineken/status/1438041234489200644,0,,,,,,,,[],,,,,0.0
62,1450097455035392001,1450097455035392001,2021-10-18 22:52:29 JST,2021-10-18,22:52:29,900,57326161,s_kwkm,川上眞一,,SpotifyにせよABEMAにせよ何にせよ、スポンサーの宣伝枠としてでなく自サービスの有料会員のCM（月額いくらでこんなに便利）というのはどうなんだろうと思ってたけど、よく考えたらスポンサーの宣伝枠と「月額課金でCMナシ」なんてのを同時に謳うわけにはいかないのでどちらかになるんだなと気づいた。,ja,[],[],[],0,0,0,[],[],https://twitter.com/s_kwkm/status/1450097455035392001,False,,0,,,,,,,,[],,,,,-0.43723019999999996
