,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,np
4,1448140385075691524,1448140385075691524,2021-10-13 13:15:47 JST,2021-10-13,13:15:47,900,986316997385338880,kanroroameame,甘露,,Spotify聴いてたら！小西さんの！ライフネット生命のCM流れて！！ひとりでキャー💓😆💓って叫んでしまいました！！耳が幸せとはこのこと！これからもバンバン流して頂きたいっ！！,ja,[],[],[],0,0,0,[],[],https://twitter.com/kanroroameame/status/1448140385075691524,False,https://twitter.com/KCONIQ/status/1447487181799378947,0,,,,,,,,[],,,,,-0.593143
16,1448136464605212680,1447965219548848134,2021-10-13 13:00:12 JST,2021-10-13,13:00:12,900,1918985431,myunyumuu,宮瀬 ぬっこ🐾,,@kuron_Vtuber わかるー！！Spotifyのcmで流れてて一目惚れしてずっとリピしてる…(●︎´▽︎`●︎)サビすごいすこ…！！,ja,[],[],[],1,0,1,[],[],https://twitter.com/myunyumuu/status/1448136464605212680,False,,0,,,,,,,,"[{'screen_name': 'kuron_Vtuber', 'name': '狐戌也 くろん / koinari kuron @両声類Vtuber', 'id': '1321861900695556096'}]",,,,,-0.638192
17,1448126077918928899,1446335927505149957,2021-10-13 12:18:56 JST,2021-10-13,12:18:56,900,1262379905326735361,n33_cm,ナッツちゃん,,もう解禁されてます！！！apple musicやLINE MUSIC、spotifyなどを見てもらえばわかると思います〜☺️  #ナッツちゃんのマシュマロ  https://t.co/693FnF8mzi,ja,[],[],['https://pbs.twimg.com/media/FBjG_MNWUAg18Dm.jpg'],1,0,1,['ナッツちゃんのマシュマロ'],[],https://twitter.com/n33_cm/status/1448126077918928899,False,,1,https://pbs.twimg.com/media/FBjG_MNWUAg18Dm.jpg,,,,,,,[],,,,,-0.5306817500000001
18,1448121207681953800,1448121207681953800,2021-10-13 11:59:35 JST,2021-10-13,11:59:35,900,1046701670149775361,netakili02,ここあ🦮,,掃除しながらYouTubeログアウトしたりログインしたりしながら、「検索」「再生」でCM飛ばさず、あいだに2.3個別の動画挟んでを繰り返してるんだけどこれでスミンのやり方合ってますか？ genieの再生とSpotifyの再生もしてたら家中からENHYPEN😂 #DIMENSION_DILEMMA #ENHYPENスミン #スミン,ja,[],[],[],0,0,0,"['dimension_dilemma', 'enhypenスミン', 'スミン']",[],https://twitter.com/netakili02/status/1448121207681953800,False,,0,,,,,,,,[],,,,,-0.37007433333333334
22,1448107042456080385,1448107042456080385,2021-10-13 11:03:18 JST,2021-10-13,11:03:18,900,3219551,umazura,UMAZURA,,abcクリニックのCMピーピーうるさい（by Spotify,ja,[],[],[],0,0,0,[],[],https://twitter.com/Umazura/status/1448107042456080385,False,,0,,,,,,,,[],,,,,-0.255375
27,1448085647370113032,1448085647370113032,2021-10-13 09:38:17 JST,2021-10-13,09:38:17,900,1442998711638892549,c6ul3royadcmbtz,🐰🐲はまうさぎ🐧🎁🌞🅱️🐶🦅,,"今日は1人なので スマホ楽天ミュージックでSO,KS 無限ループ 普通の音量で聴けてる。😊  PCは音無しで ツイッターやりながら SpotifyでSO,KS さらに 有志提供のリストでSO再生  家事らしきことをアリバイ程度にしつつの ながら応援中  BE:FIRST / Shining One / Gifted. / Kick Start / First Step",ja,[],[],[],0,7,6,[],[],https://twitter.com/c6Ul3RoyAdCMBtz/status/1448085647370113032,False,,0,,,,,,,,[],,,,,-0.1430508
29,1448084205209100295,1448084205209100295,2021-10-13 09:32:33 JST,2021-10-13,09:32:33,900,620030241,fuetoguitar,森小畝,,Spotifyで邦楽ダークポップアーティストさんのCMが流れてきて良いなと思ったんだけど喋りもダークでアーティスト名が聞き取れなかった。,ja,[],[],[],0,0,1,[],[],https://twitter.com/fuetoguitar/status/1448084205209100295,False,,0,,,,,,,,[],,,,,-0.18777320000000003
30,1448072120957689856,1448041168042745856,2021-10-13 08:44:32 JST,2021-10-13,08:44:32,900,1433360669462597634,ekkpehrwy1cz46w,もっちん,,@naoc2 Spotify無料は訳のわからないCM入るしね😅無料は使い勝手悪いよねwApple使い勝手いいのね？ちょっと月額調べてみてSpotifyと同じか安かったらそっちにしようかなぁ🤔Spotify確かに独自ｺﾝﾃﾝﾂあるね。私ﾋﾞｯﾍﾟﾝ好きなんだけど結構曲入ってるしね😊,ja,[],[],[],0,0,0,[],[],https://twitter.com/ekKPEhRWy1Cz46w/status/1448072120957689856,False,,0,,,,,,,,"[{'screen_name': 'naoc2', 'name': 'naoc', 'id': '288068617'}]",,,,,-0.49077271428571423
35,1447992393538543616,1447992393538543616,2021-10-13 03:27:43 JST,2021-10-13,03:27:43,900,520992647,cuscutaceae,蘇るの巻,,Spotify見てると出てくるなんかのCMで、尻の島でバカンスを楽しみ、飛行機雲が尻の形に飛ぶやつほんとに愉快で楽しいからみんなああいう広告になってほしい,ja,[],[],[],0,0,0,[],[],https://twitter.com/Cuscutaceae/status/1447992393538543616,False,,0,,,,,,,,[],,,,,-0.280639375
36,1447971004244844545,1447971004244844545,2021-10-13 02:02:44 JST,2021-10-13,02:02:44,900,276949011,tommyhana,トミィ🎈,,眠れなくてSpotifyの睡眠プレイリスト流してたら、cmで木村昴と！榎木淳弥！みたいなの入ってきてまた目が覚めた,ja,[],[],[],0,0,0,[],[],https://twitter.com/tommyhana/status/1447971004244844545,False,,0,,,,,,,,[],,,,,-0.4509554285714286
